version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,94628000,2330,2565,5526,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94629000,2395,2572,5603,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94630000,2456,2587,5696,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94631000,2424,2559,5639,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94632000,2441,2542,5640,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94633000,2443,2548,5648,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94634000,2370,2511,5505,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94635000,2352,2478,5448,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94636000,2276,2433,5293,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94637000,2191,2383,5134,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94638000,2191,2381,5129,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94639000,2155,2334,5032,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94640000,2149,2319,5007,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94641000,2105,2304,4942,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94642000,2093,2285,4904,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94643000,2092,2268,4869,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94644000,2043,2252,4792,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94645000,2001,2212,4700,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94646000,1975,2194,4639,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94647000,1966,2188,4613,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94648000,1942,2161,4557,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94649000,1944,2148,4541,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94650000,1944,2144,4530,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94651000,1940,2123,4496,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94652000,1957,2144,4529,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94653000,1965,2155,4536,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94654000,1913,2101,4432,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94655000,1918,2104,4448,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94656000,1906,2104,4431,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94657000,1875,2100,4397,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94658000,1838,2090,4346,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94659000,1775,2040,4227,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94660000,1733,2024,4169,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94661000,1702,2003,4119,0,0,0,0,0,0,0
