msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,51,56,12,27,16,74,382,14,0,0,30,0
1,1,49,56,12,27,16,74,383,14,0,0,28,0
1,1,49,56,12,27,15,74,384,14,0,0,30,0
1,1,49,56,12,27,17,74,385,14,0,0,29,0
1,1,52,56,12,27,15,74,386,14,0,0,29,0
1,1,55,56,12,27,15,74,387,14,0,0,30,0
1,1,55,56,12,27,18,74,388,14,0,0,30,0
1,1,51,56,12,27,18,74,389,14,0,0,31,0
1,1,52,56,12,27,15,74,390,14,0,0,30,0
1,1,50,56,12,27,18,74,391,14,0,0,30,0
1,1,50,56,12,27,15,74,392,14,0,0,30,0
1,1,48,56,12,27,16,74,393,14,0,0,30,0
1,1,49,56,12,27,15,74,394,14,0,0,31,0
1,1,48,56,12,27,16,74,395,14,0,0,28,0
1,1,50,56,12,27,15,74,396,14,0,0,31,0
1,1,49,56,12,27,15,74,397,14,0,0,31,0
1,1,50,56,12,27,15,74,398,14,0,0,30,0
1,1,51,56,12,27,15,74,399,14,0,0,31,0
1,1,51,56,12,27,15,74,400,14,0,0,31,0
1,1,49,56,12,27,16,74,401,14,0,0,32,0
1,1,49,56,12,27,16,74,402,14,0,0,28,0
1,1,49,56,12,27,18,74,403,14,0,0,29,0
1,1,50,56,12,27,15,74,404,14,0,0,28,0
1,1,50,56,12,27,19,74,405,14,0,0,31,0
1,1,51,56,12,27,19,74,406,14,0,0,31,0
1,1,50,56,12,27,18,74,407,14,0,0,30,0
1,1,50,56,12,27,15,74,408,14,0,0,30,0
1,1,51,56,12,27,15,74,409,14,0,0,29,0
1,1,51,56,12,27,16,74,410,14,0,0,29,0
1,1,51,56,12,27,15,74,411,14,0,0,28,0
1,1,52,56,12,27,15,74,412,14,0,0,28,0
1,1,53,56,12,27,15,74,413,14,0,0,31,0
1,1,51,56,12,27,16,74,414,14,0,0,28,0
1,1,49,56,12,27,18,74,415,14,0,0,30,0
1,1,51,56,12,27,15,74,416,14,0,0,30,0
1,1,53,56,12,27,15,74,417,14,0,0,30,0
1,1,53,56,12,27,15,74,418,14,0,0,32,0
1,1,53,56,12,27,15,74,419,14,0,0,29,0
1,1,56,56,12,27,15,74,420,14,0,0,30,0
1,1,54,56,12,27,15,74,421,14,0,0,29,0
1,1,53,56,12,27,15,74,422,14,0,0,28,0
1,1,52,56,12,27,15,74,423,14,0,0,30,0
1,1,52,56,12,27,15,74,424,14,0,0,29,0
1,1,50,56,12,27,21,74,425,14,0,0,31,0
1,1,51,56,12,27,16,74,426,14,0,0,30,0
1,1,51,56,12,27,18,74,427,14,0,0,31,0
1,1,50,56,12,27,16,74,428,14,0,0,30,0
1,1,50,56,12,27,15,74,429,14,0,0,30,0
1,1,50,56,12,27,15,74,430,14,0,0,30,0
1,1,50,56,12,27,17,74,431,14,0,0,30,0
1,1,50,56,12,27,15,74,432,14,0,0,31,0
1,1,49,56,12,27,16,74,433,14,0,0,30,0
1,1,52,56,12,27,15,74,434,14,0,0,30,0
1,1,51,56,12,27,15,74,435,14,0,0,29,0
1,1,50,56,12,27,17,74,436,14,0,0,28,0
1,1,49,56,12,27,15,74,437,14,0,0,28,0
1,1,50,56,12,27,15,74,438,14,0,0,30,0
1,1,51,56,12,27,15,74,439,14,0,0,30,0
1,1,51,56,12,27,15,74,440,14,0,0,31,0
1,1,51,56,12,27,15,74,441,14,0,0,25,0
1,1,51,56,12,27,17,74,442,14,0,0,32,0
1,1,50,56,12,27,17,74,443,14,0,0,30,0
1,1,52,56,12,27,15,74,444,14,0,0,29,0
1,1,53,56,12,27,15,74,445,14,0,0,29,0
1,1,53,56,12,27,15,74,446,14,0,0,29,0
1,1,50,56,12,27,15,74,447,14,0,0,28,0
1,1,51,56,12,27,17,74,448,14,0,0,29,0
1,1,51,56,12,27,17,74,449,14,0,0,30,0
1,1,51,56,12,27,15,74,450,14,0,0,29,0
1,1,51,56,12,27,15,74,451,14,0,0,31,0
1,1,50,56,12,27,15,74,452,14,0,0,31,0
1,1,49,56,12,27,15,74,453,14,0,0,30,0
1,1,51,56,12,27,16,74,454,14,0,0,29,0
1,1,52,56,12,27,15,74,455,14,0,0,29,0
1,1,53,56,12,27,20,74,456,14,0,0,29,0
1,1,52,56,12,27,15,74,457,14,0,0,31,0
1,1,53,56,12,27,17,74,458,14,0,0,29,0
1,1,52,56,12,27,17,74,459,14,0,0,29,0
1,1,52,56,12,27,16,74,460,14,0,0,28,0
