version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,94600000,114.180294238,22.305821411,16780.0,18392.6,702.3,1146.4
0,0,0,94601000,114.180303367,22.305816363,16602.0,18214.5,712.7,1159.1
0,0,0,94602000,114.180311053,22.305810959,16448.9,18061.4,723.3,1172.1
0,0,0,94603000,114.180318693,22.305806229,16517.4,18129.9,733.5,1185.2
0,0,0,94604000,114.180325603,22.305800455,16558.0,18170.5,745.8,1201.6
0,0,0,94605000,114.180332432,22.305793864,16407.0,18019.4,755.7,1212.2
0,0,0,94606000,114.180338324,22.305786994,16255.4,17867.8,767.8,1226.2
0,0,0,94607000,114.180343108,22.305780161,16176.1,17788.5,778.5,1239.4
0,0,0,94608000,114.180346817,22.30577304,16224.1,17836.4,787.6,1251.7
0,0,0,94609000,114.180350553,22.305765422,16089.2,17701.5,794.8,1259.6
0,0,0,94610000,114.180353913,22.3057566,16018.8,17631.1,797.3,1260.0
0,0,0,94611000,114.180355128,22.305746989,16179.8,17792.1,797.8,1259.0
0,0,0,94612000,114.180356567,22.305738017,16138.3,17750.6,798.9,1256.7
0,0,0,94613000,114.180357636,22.305728564,16063.1,17675.4,801.3,1258.6
0,0,0,94614000,114.180356824,22.30571857,15899.3,17511.6,805.9,1266.6
0,0,0,94615000,114.180354051,22.30570936,15807.8,17420.1,812.4,1279.0
0,0,0,94616000,114.180349159,22.305702546,15748.7,17361.0,818.0,1288.6
0,0,0,94617000,114.180342808,22.30570012,15687.4,17299.6,824.1,1296.5
0,0,0,94618000,114.180338599,22.305699175,15754.0,17366.2,830.7,1310.5
0,0,0,94619000,114.180335508,22.305699301,16092.8,17705.1,837.0,1321.1
0,0,0,94620000,114.180332757,22.305698594,16248.6,17860.9,845.3,1334.2
0,0,0,94621000,114.180330563,22.305696767,16268.3,17880.6,856.8,1353.8
0,0,0,94622000,114.180327439,22.305694955,16494.8,18107.1,870.8,1380.1
0,0,0,94623000,114.180324864,22.305693991,16614.7,18227.0,880.3,1394.4
0,0,0,94624000,114.180322674,22.305692595,16826.1,18438.5,891.6,1412.1
0,0,0,94625000,114.180320689,22.305691329,16957.0,18569.3,901.6,1430.1
0,0,0,94626000,114.180318381,22.3056899,16953.4,18565.7,911.3,1448.6
0,0,0,94627000,114.18031482,22.30568774,17229.8,18842.1,921.6,1466.0
0,0,0,94628000,114.180310312,22.305686532,17486.9,19099.2,929.1,1481.4
0,0,0,94629000,114.180306566,22.305684986,17511.7,19124.0,942.1,1502.2
0,0,0,94630000,114.180301949,22.305683338,17507.2,19119.6,951.3,1518.9
0,0,0,94631000,114.180297213,22.305680357,17603.9,19216.3,944.8,1511.9
0,0,0,94632000,114.180291938,22.305677602,17632.2,19244.6,944.9,1512.1
0,0,0,94633000,114.180286716,22.305675669,17866.5,19478.9,941.4,1506.2
0,0,0,94634000,114.180282398,22.30567444,18036.5,19648.9,925.8,1475.8
0,0,0,94635000,114.180278262,22.305673133,18134.3,19746.8,916.0,1460.6
0,0,0,94636000,114.180272743,22.305670073,18277.0,19889.5,898.0,1426.7
0,0,0,94637000,114.18026595,22.305667504,18398.1,20010.6,877.2,1391.2
0,0,0,94638000,114.180259223,22.305664481,18447.3,20059.7,867.6,1375.1
0,0,0,94639000,114.180252661,22.305660813,18536.5,20149.0,860.9,1363.7
0,0,0,94640000,114.180245952,22.305656795,18596.5,20209.0,852.1,1349.7
0,0,0,94641000,114.180238543,22.305653893,18810.4,20423.0,841.2,1332.1
0,0,0,94642000,114.180230888,22.305651051,18846.9,20459.5,835.1,1321.8
0,0,0,94643000,114.180223096,22.305647461,18911.8,20524.4,831.7,1312.5
0,0,0,94644000,114.180215433,22.305643824,18913.2,20525.8,819.5,1291.6
0,0,0,94645000,114.18020825,22.305640898,18901.7,20514.3,804.0,1266.7
0,0,0,94646000,114.180199991,22.305638202,19066.1,20678.8,795.7,1250.5
0,0,0,94647000,114.180191565,22.305635027,19091.8,20704.5,792.7,1243.5
0,0,0,94648000,114.180183687,22.305631419,19092.6,20705.3,787.3,1235.1
0,0,0,94649000,114.180176514,22.305627476,18984.9,20597.6,780.8,1224.0
0,0,0,94650000,114.180169093,22.305624199,18921.9,20534.6,780.1,1221.0
0,0,0,94651000,114.180161335,22.305620801,18960.5,20573.2,779.5,1218.4
0,0,0,94652000,114.180154001,22.305618114,19003.1,20615.9,782.4,1220.7
0,0,0,94653000,114.180145777,22.305615629,19025.9,20638.8,786.1,1222.5
0,0,0,94654000,114.180136298,22.305612912,19020.5,20633.3,770.0,1201.2
0,0,0,94655000,114.180127994,22.305610418,18934.6,20547.5,767.4,1198.9
0,0,0,94656000,114.180119528,22.305608089,18845.3,20458.1,765.1,1194.3
0,0,0,94657000,114.180111041,22.305605574,18937.3,20550.2,758.8,1185.1
0,0,0,94658000,114.180102925,22.305605005,18906.9,20519.9,750.2,1171.4
0,0,0,94659000,114.180094802,22.305606134,18987.8,20600.8,732.9,1145.4
0,0,0,94660000,114.180087732,22.305609523,18964.6,20577.6,722.2,1129.9
0,0,0,94661000,114.180083277,22.305613814,18931.6,20544.7,712.2,1116.2
