version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,83,5265,4,1,149,4,143,0,1,0,1,2,0,0,50,4914,5,15,170,4,174,0
0,2,0,0,0,1,2,0,0,83,5265,6,18,150,1,151,0,1,0,1,2,0,0,50,4914,5,14,218,12,207,0
0,2,0,0,0,1,2,0,0,84,5265,8,16,150,2,146,0,1,0,1,2,0,0,50,4914,5,18,188,4,180,0
0,2,0,0,0,1,2,0,0,84,5265,6,14,151,6,148,0,1,0,1,2,0,0,50,4914,6,18,179,9,170,0
0,2,0,0,0,1,2,0,0,84,5265,7,14,155,2,149,0,1,0,1,2,0,0,50,4914,8,16,204,13,214,0
0,2,0,0,0,1,2,0,0,84,5265,4,6,149,1,147,0,1,0,1,2,0,0,53,4563,2,25,166,18,168,0
0,2,0,0,0,1,2,0,0,84,5265,6,12,152,2,148,0,1,0,1,2,0,0,50,4563,3,20,183,8,174,0
0,2,0,0,0,1,2,0,0,84,5265,7,15,151,9,144,0,1,0,1,2,0,0,50,4563,3,25,196,27,179,0
0,2,0,0,0,1,2,0,0,84,5265,7,15,151,3,146,0,1,0,1,2,0,0,50,4563,3,9,177,0,193,0
0,2,0,0,0,1,2,0,0,84,5265,6,13,152,3,146,0,1,0,1,2,0,0,50,4563,4,24,149,8,163,0
0,2,0,0,0,1,2,0,0,85,5265,6,13,153,4,151,0,1,0,1,2,0,0,50,4563,6,23,170,11,158,0
0,2,0,0,0,1,2,0,0,85,5265,5,13,152,6,145,0,1,0,1,2,0,0,50,4563,3,20,170,-6,164,0
