version,nPorts,mem,alloc,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04
0,4,0,0,0,0,1,5,6,256,1058,610053,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2785214,0,0,0,2752621,5,12,0,13073,0,0,0,0,132,768,0,3420104,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2740358,9,10,0,2177434,3,8,0,6367,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1089,611938,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2791246,0,0,0,2760210,5,12,0,13111,0,0,0,0,132,768,0,3431152,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2747806,9,10,0,2183466,4,8,0,6384,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1087,613923,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2797190,0,0,0,2766733,5,12,0,13138,0,0,0,0,132,768,0,3441391,19,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2754330,9,10,0,2189410,4,8,0,6401,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1076,615978,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2802990,0,0,0,2773593,4,12,0,13171,0,0,0,0,132,768,0,3451783,17,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2761358,9,10,0,2195210,3,8,0,6417,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1107,617919,16,16,0,0,0,0,0,0,0,0,0,0,0,512,0,2808934,0,0,0,2780258,5,12,0,13198,0,0,0,0,132,768,0,3462124,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2767882,8,10,0,2201154,3,8,0,6434,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1140,619865,15,16,0,0,0,0,0,0,0,0,0,0,0,512,0,2815110,0,0,0,2787417,5,12,0,13232,0,0,0,0,132,768,0,3472905,16,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2774994,9,10,0,2207330,5,8,0,6452,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1076,621901,16,16,0,0,0,0,0,0,0,0,0,0,0,512,0,2820910,0,0,0,2793794,4,12,0,13259,0,0,0,0,132,768,0,3482882,16,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2781518,9,10,0,2213130,4,8,0,6468,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1004,623937,15,16,0,0,0,0,0,0,0,0,0,0,0,512,0,2827086,0,0,0,2801521,5,12,0,13300,0,0,0,0,132,768,0,3494149,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2789218,9,10,0,2219306,4,8,0,6486,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1102,625940,15,16,0,0,0,0,0,0,0,0,0,0,0,512,0,2833262,0,0,0,2808007,5,12,0,13327,0,0,0,0,132,768,0,3504257,17,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2795742,9,10,0,2225482,5,8,0,6504,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1030,627910,15,16,0,0,0,0,0,0,0,0,0,0,0,512,0,2839438,0,0,0,2814950,4,12,0,13359,0,0,0,0,132,768,0,3514607,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2802686,9,10,0,2231658,5,8,0,6522,0,0,0,0,0
